               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058603,            0.023196,            0.026793,             0.55243,             0.43382,             0.33589,             0.24094,            0.031571,           0.0058507,            0.016366,            0.070101,           0.0033221,           0.0033221
                   1,            0.041533,            0.015381,            0.017301,             0.60772,             0.51929,             0.45028,             0.29723,             0.02727,            0.004609,            0.012897,            0.039969,           0.0065237,           0.0065237
                   2,            0.037815,            0.013935,            0.015272,             0.65183,             0.55514,             0.42279,              0.2878,            0.028736,           0.0052866,            0.012676,           0.0097055,           0.0095932,           0.0095932
                   3,            0.034042,            0.013614,            0.014672,             0.65426,             0.53989,             0.46817,             0.32895,            0.026122,           0.0049046,             0.01149,            0.009406,            0.009406,            0.009406
                   4,            0.032579,            0.013793,            0.014607,             0.41831,             0.62759,             0.47569,             0.35741,             0.02292,           0.0046621,            0.010869,            0.009406,            0.009406,            0.009406
                   5,            0.031259,              0.0133,            0.012717,             0.43547,             0.73525,             0.49573,             0.40971,            0.022366,           0.0042905,           0.0095606,            0.009208,            0.009208,            0.009208
                   6,             0.02851,            0.013198,            0.013312,             0.41417,             0.69091,             0.47731,             0.34447,            0.022269,           0.0044734,            0.011996,             0.00901,             0.00901,             0.00901
                   7,            0.028888,            0.012979,            0.013226,              0.4082,             0.62622,             0.47596,             0.34432,            0.022231,           0.0044042,            0.012297,            0.008812,            0.008812,            0.008812
                   8,            0.025863,            0.012396,            0.012294,             0.44794,              0.7383,             0.50502,             0.38437,            0.023358,           0.0039368,            0.010418,            0.008614,            0.008614,            0.008614
                   9,            0.026029,            0.011959,            0.012189,             0.44615,              0.7428,             0.50417,             0.41501,            0.020911,           0.0038755,           0.0099058,            0.008416,            0.008416,            0.008416
